Date,Site,Transect,Round,Long_Station,Size_class_mm,Category_total
2021-06-08,PCX-1,,3,2,256,9
2021-06-08,PCX-1,,3,2,180,0
2021-06-08,PCX-1,,3,2,128,0
2021-06-08,PCX-1,,3,2,90,7
2021-06-08,PCX-1,,3,2,64,6
2021-06-08,PCX-1,,3,2,45,6
2021-06-08,PCX-1,,3,2,32,10
2021-06-08,PCX-1,,3,2,22.6,4
2021-06-08,PCX-1,,3,2,16,10
2021-06-08,PCX-1,,3,2,11.3,5
2021-06-08,PCX-1,,3,2,8,3
2021-06-08,PCX-1,,3,2,5.6,4
2021-06-08,PCX-1,,3,2,4,5
2021-06-08,PCX-1,,3,2,2.8,3
2021-06-08,PCX-1,,3,2,2,0
2021-06-08,PCX-1,,3,2,1.9,28
2021-06-08,PCX-2,,3,3,256,21
2021-06-08,PCX-2,,3,3,180,0
2021-06-08,PCX-2,,3,3,128,0
2021-06-08,PCX-2,,3,3,90,3
2021-06-08,PCX-2,,3,3,64,3
2021-06-08,PCX-2,,3,3,45,5
2021-06-08,PCX-2,,3,3,32,2
2021-06-08,PCX-2,,3,3,22.6,2
2021-06-08,PCX-2,,3,3,16,3
2021-06-08,PCX-2,,3,3,11.3,2
2021-06-08,PCX-2,,3,3,8,2
2021-06-08,PCX-2,,3,3,5.6,0
2021-06-08,PCX-2,,3,3,4,1
2021-06-08,PCX-2,,3,3,2.8,5
2021-06-08,PCX-2,,3,3,2,0
2021-06-08,PCX-2,,3,3,1.9,51
2021-06-08,PCX-3,,3,8,256,18
2021-06-08,PCX-3,,3,8,180,1
2021-06-08,PCX-3,,3,8,128,2
2021-06-08,PCX-3,,3,8,90,4
2021-06-08,PCX-3,,3,8,64,4
2021-06-08,PCX-3,,3,8,45,1
2021-06-08,PCX-3,,3,8,32,1
2021-06-08,PCX-3,,3,8,22.6,1
2021-06-08,PCX-3,,3,8,16,1
2021-06-08,PCX-3,,3,8,11.3,1
2021-06-08,PCX-3,,3,8,8,3
2021-06-08,PCX-3,,3,8,5.6,3
2021-06-08,PCX-3,,3,8,4,7
2021-06-08,PCX-3,,3,8,2.8,1
2021-06-08,PCX-3,,3,8,2,0
2021-06-08,PCX-3,,3,8,1.9,52
2021-06-08,PCX-4,,3,4,256,6
2021-06-08,PCX-4,,3,4,180,0
2021-06-08,PCX-4,,3,4,128,3
2021-06-08,PCX-4,,3,4,90,4
2021-06-08,PCX-4,,3,4,64,2
2021-06-08,PCX-4,,3,4,45,4
2021-06-08,PCX-4,,3,4,32,10
2021-06-08,PCX-4,,3,4,22.6,3
2021-06-08,PCX-4,,3,4,16,2
2021-06-08,PCX-4,,3,4,11.3,1
2021-06-08,PCX-4,,3,4,8,0
2021-06-08,PCX-4,,3,4,5.6,0
2021-06-08,PCX-4,,3,4,4,0
2021-06-08,PCX-4,,3,4,2.8,1
2021-06-08,PCX-4,,3,4,2,0
2021-06-08,PCX-4,,3,4,1.9,64
2021-06-08,PCX-5,,3,5,256,0
2021-06-08,PCX-5,,3,5,180,0
2021-06-08,PCX-5,,3,5,128,0
2021-06-08,PCX-5,,3,5,90,4
2021-06-08,PCX-5,,3,5,64,3
2021-06-08,PCX-5,,3,5,45,2
2021-06-08,PCX-5,,3,5,32,8
2021-06-08,PCX-5,,3,5,22.6,4
2021-06-08,PCX-5,,3,5,16,2
2021-06-08,PCX-5,,3,5,11.3,4
2021-06-08,PCX-5,,3,5,8,3
2021-06-08,PCX-5,,3,5,5.6,1
2021-06-08,PCX-5,,3,5,4,0
2021-06-08,PCX-5,,3,5,2.8,0
2021-06-08,PCX-5,,3,5,2,0
2021-06-08,PCX-5,,3,5,1.9,69
2021-06-21,Big Creek eFishing ,1,3,9,256,38
2021-06-21,Big Creek eFishing ,1,3,9,180,0
2021-06-21,Big Creek eFishing ,1,3,9,128,3
2021-06-21,Big Creek eFishing ,1,3,9,90,4
2021-06-21,Big Creek eFishing ,1,3,9,64,1
2021-06-21,Big Creek eFishing ,1,3,9,45,1
2021-06-21,Big Creek eFishing ,1,3,9,32,0
2021-06-21,Big Creek eFishing ,1,3,9,22.6,4
2021-06-21,Big Creek eFishing ,1,3,9,16,6
2021-06-21,Big Creek eFishing ,1,3,9,11.3,8
2021-06-21,Big Creek eFishing ,1,3,9,8,1
2021-06-21,Big Creek eFishing ,1,3,9,5.6,3
2021-06-21,Big Creek eFishing ,1,3,9,4,0
2021-06-21,Big Creek eFishing ,1,3,9,2.8,2
2021-06-21,Big Creek eFishing ,1,3,9,2,0
2021-06-21,Big Creek eFishing ,1,3,9,1.9,29
2021-06-21,Big Creek eFishing ,2,3,9,256,23
2021-06-21,Big Creek eFishing ,2,3,9,180,3
2021-06-21,Big Creek eFishing ,2,3,9,128,4
2021-06-21,Big Creek eFishing ,2,3,9,90,2
2021-06-21,Big Creek eFishing ,2,3,9,64,4
2021-06-21,Big Creek eFishing ,2,3,9,45,2
2021-06-21,Big Creek eFishing ,2,3,9,32,5
2021-06-21,Big Creek eFishing ,2,3,9,22.6,1
2021-06-21,Big Creek eFishing ,2,3,9,16,2
2021-06-21,Big Creek eFishing ,2,3,9,11.3,1
2021-06-21,Big Creek eFishing ,2,3,9,8,2
2021-06-21,Big Creek eFishing ,2,3,9,5.6,2
2021-06-21,Big Creek eFishing ,2,3,9,4,3
2021-06-21,Big Creek eFishing ,2,3,9,2.8,2
2021-06-21,Big Creek eFishing ,2,3,9,2,0
2021-06-21,Big Creek eFishing ,2,3,9,1.9,35
2021-06-21,Big Creek eFishing ,3,3,9,256,19
2021-06-21,Big Creek eFishing ,3,3,9,180,6
2021-06-21,Big Creek eFishing ,3,3,9,128,0
2021-06-21,Big Creek eFishing ,3,3,9,90,3
2021-06-21,Big Creek eFishing ,3,3,9,64,1
2021-06-21,Big Creek eFishing ,3,3,9,45,2
2021-06-21,Big Creek eFishing ,3,3,9,32,1
2021-06-21,Big Creek eFishing ,3,3,9,22.6,0
2021-06-21,Big Creek eFishing ,3,3,9,16,1
2021-06-21,Big Creek eFishing ,3,3,9,11.3,1
2021-06-21,Big Creek eFishing ,3,3,9,8,2
2021-06-21,Big Creek eFishing ,3,3,9,5.6,3
2021-06-21,Big Creek eFishing ,3,3,9,4,3
2021-06-21,Big Creek eFishing ,3,3,9,2.8,0
2021-06-21,Big Creek eFishing ,3,3,9,2,0
2021-06-21,Big Creek eFishing ,3,3,9,1.9,58
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,256,26
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,180,6
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,128,6
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,90,6
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,64,6
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,45,3
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,32,2
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,22.6,1
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,16,6
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,11.3,3
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,8,2
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,5.6,2
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,4,1
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,2.8,1
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,2,0
2021-06-21,Big Creek Powerhouse eFishing ,1,3,10,1.9,29
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,256,35
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,180,4
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,128,1
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,90,1
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,64,1
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,45,3
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,32,1
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,22.6,3
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,16,2
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,11.3,1
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,8,4
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,5.6,4
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,4,2
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,2.8,1
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,2,0
2021-06-21,Big Creek Powerhouse eFishing ,2,3,10,1.9,37
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,256,36
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,180,4
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,128,2
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,90,3
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,64,3
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,45,0
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,32,0
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,22.6,0
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,16,1
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,11.3,1
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,8,1
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,5.6,3
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,4,3
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,2.8,1
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,2,1
2021-06-21,Big Creek Powerhouse eFishing ,3,3,10,1.9,42
2021-06-23,Lower Mainstem eFishing ,1,3,1,256,0
2021-06-23,Lower Mainstem eFishing ,1,3,1,180,0
2021-06-23,Lower Mainstem eFishing ,1,3,1,128,1
2021-06-23,Lower Mainstem eFishing ,1,3,1,90,0
2021-06-23,Lower Mainstem eFishing ,1,3,1,64,2
2021-06-23,Lower Mainstem eFishing ,1,3,1,45,1
2021-06-23,Lower Mainstem eFishing ,1,3,1,32,1
2021-06-23,Lower Mainstem eFishing ,1,3,1,22.6,0
2021-06-23,Lower Mainstem eFishing ,1,3,1,16,2
2021-06-23,Lower Mainstem eFishing ,1,3,1,11.3,3
2021-06-23,Lower Mainstem eFishing ,1,3,1,8,0
2021-06-23,Lower Mainstem eFishing ,1,3,1,5.6,2
2021-06-23,Lower Mainstem eFishing ,1,3,1,4,3
2021-06-23,Lower Mainstem eFishing ,1,3,1,2.8,2
2021-06-23,Lower Mainstem eFishing ,1,3,1,2,0
2021-06-23,Lower Mainstem eFishing ,1,3,1,1.9,83
2021-06-23,Lower Mainstem eFishing ,2,3,1,256,0
2021-06-23,Lower Mainstem eFishing ,2,3,1,180,0
2021-06-23,Lower Mainstem eFishing ,2,3,1,128,8
2021-06-23,Lower Mainstem eFishing ,2,3,1,90,5
2021-06-23,Lower Mainstem eFishing ,2,3,1,64,0
2021-06-23,Lower Mainstem eFishing ,2,3,1,45,0
2021-06-23,Lower Mainstem eFishing ,2,3,1,32,4
2021-06-23,Lower Mainstem eFishing ,2,3,1,22.6,4
2021-06-23,Lower Mainstem eFishing ,2,3,1,16,4
2021-06-23,Lower Mainstem eFishing ,2,3,1,11.3,1
2021-06-23,Lower Mainstem eFishing ,2,3,1,8,3
2021-06-23,Lower Mainstem eFishing ,2,3,1,5.6,0
2021-06-23,Lower Mainstem eFishing ,2,3,1,4,6
2021-06-23,Lower Mainstem eFishing ,2,3,1,2.8,2
2021-06-23,Lower Mainstem eFishing ,2,3,1,2,0
2021-06-23,Lower Mainstem eFishing ,2,3,1,1.9,63
2021-06-23,Lower Mainstem eFishing ,3,3,1,256,0
2021-06-23,Lower Mainstem eFishing ,3,3,1,180,4
2021-06-23,Lower Mainstem eFishing ,3,3,1,128,4
2021-06-23,Lower Mainstem eFishing ,3,3,1,90,5
2021-06-23,Lower Mainstem eFishing ,3,3,1,64,1
2021-06-23,Lower Mainstem eFishing ,3,3,1,45,1
2021-06-23,Lower Mainstem eFishing ,3,3,1,32,0
2021-06-23,Lower Mainstem eFishing ,3,3,1,22.6,1
2021-06-23,Lower Mainstem eFishing ,3,3,1,16,1
2021-06-23,Lower Mainstem eFishing ,3,3,1,11.3,0
2021-06-23,Lower Mainstem eFishing ,3,3,1,8,1
2021-06-23,Lower Mainstem eFishing ,3,3,1,5.6,5
2021-06-23,Lower Mainstem eFishing ,3,3,1,4,6
2021-06-23,Lower Mainstem eFishing ,3,3,1,2.8,1
2021-06-23,Lower Mainstem eFishing ,3,3,1,2,0
2021-06-23,Lower Mainstem eFishing ,3,3,1,1.9,70
2021-06-24,Upper Mainstem eFishing ,1,3,6,256,0
2021-06-24,Upper Mainstem eFishing ,1,3,6,180,0
2021-06-24,Upper Mainstem eFishing ,1,3,6,128,0
2021-06-24,Upper Mainstem eFishing ,1,3,6,90,2
2021-06-24,Upper Mainstem eFishing ,1,3,6,64,9
2021-06-24,Upper Mainstem eFishing ,1,3,6,45,16
2021-06-24,Upper Mainstem eFishing ,1,3,6,32,21
2021-06-24,Upper Mainstem eFishing ,1,3,6,22.6,16
2021-06-24,Upper Mainstem eFishing ,1,3,6,16,4
2021-06-24,Upper Mainstem eFishing ,1,3,6,11.3,2
2021-06-24,Upper Mainstem eFishing ,1,3,6,8,1
2021-06-24,Upper Mainstem eFishing ,1,3,6,5.6,0
2021-06-24,Upper Mainstem eFishing ,1,3,6,4,0
2021-06-24,Upper Mainstem eFishing ,1,3,6,2.8,0
2021-06-24,Upper Mainstem eFishing ,1,3,6,2,0
2021-06-24,Upper Mainstem eFishing ,1,3,6,1.9,29
2021-06-24,Upper Mainstem eFishing ,2,3,6,256,0
2021-06-24,Upper Mainstem eFishing ,2,3,6,180,0
2021-06-24,Upper Mainstem eFishing ,2,3,6,128,0
2021-06-24,Upper Mainstem eFishing ,2,3,6,90,0
2021-06-24,Upper Mainstem eFishing ,2,3,6,64,7
2021-06-24,Upper Mainstem eFishing ,2,3,6,45,7
2021-06-24,Upper Mainstem eFishing ,2,3,6,32,7
2021-06-24,Upper Mainstem eFishing ,2,3,6,22.6,4
2021-06-24,Upper Mainstem eFishing ,2,3,6,16,9
2021-06-24,Upper Mainstem eFishing ,2,3,6,11.3,9
2021-06-24,Upper Mainstem eFishing ,2,3,6,8,3
2021-06-24,Upper Mainstem eFishing ,2,3,6,5.6,10
2021-06-24,Upper Mainstem eFishing ,2,3,6,4,6
2021-06-24,Upper Mainstem eFishing ,2,3,6,2.8,1
2021-06-24,Upper Mainstem eFishing ,2,3,6,2,0
2021-06-24,Upper Mainstem eFishing ,2,3,6,1.9,37
2021-06-24,Upper Mainstem eFishing ,3,3,6,256,0
2021-06-24,Upper Mainstem eFishing ,3,3,6,180,0
2021-06-24,Upper Mainstem eFishing ,3,3,6,128,0
2021-06-24,Upper Mainstem eFishing ,3,3,6,90,1
2021-06-24,Upper Mainstem eFishing ,3,3,6,64,0
2021-06-24,Upper Mainstem eFishing ,3,3,6,45,8
2021-06-24,Upper Mainstem eFishing ,3,3,6,32,11
2021-06-24,Upper Mainstem eFishing ,3,3,6,22.6,15
2021-06-24,Upper Mainstem eFishing ,3,3,6,16,6
2021-06-24,Upper Mainstem eFishing ,3,3,6,11.3,7
2021-06-24,Upper Mainstem eFishing ,3,3,6,8,3
2021-06-24,Upper Mainstem eFishing ,3,3,6,5.6,2
2021-06-24,Upper Mainstem eFishing ,3,3,6,4,2
2021-06-24,Upper Mainstem eFishing ,3,3,6,2.8,0
2021-06-24,Upper Mainstem eFishing ,3,3,6,2,0
2021-06-24,Upper Mainstem eFishing ,3,3,6,1.9,45
2021-06-24,Dog eFishing,1,3,7,256,0
2021-06-24,Dog eFishing,1,3,7,180,5
2021-06-24,Dog eFishing,1,3,7,128,0
2021-06-24,Dog eFishing,1,3,7,90,3
2021-06-24,Dog eFishing,1,3,7,64,1
2021-06-24,Dog eFishing,1,3,7,45,2
2021-06-24,Dog eFishing,1,3,7,32,2
2021-06-24,Dog eFishing,1,3,7,22.6,0
2021-06-24,Dog eFishing,1,3,7,16,0
2021-06-24,Dog eFishing,1,3,7,11.3,2
2021-06-24,Dog eFishing,1,3,7,8,2
2021-06-24,Dog eFishing,1,3,7,5.6,5
2021-06-24,Dog eFishing,1,3,7,4,7
2021-06-24,Dog eFishing,1,3,7,2.8,3
2021-06-24,Dog eFishing,1,3,7,2,2
2021-06-24,Dog eFishing,1,3,7,1.9,66
2021-06-24,Dog eFishing,2,3,7,256,0
2021-06-24,Dog eFishing,2,3,7,180,0
2021-06-24,Dog eFishing,2,3,7,128,0
2021-06-24,Dog eFishing,2,3,7,90,0
2021-06-24,Dog eFishing,2,3,7,64,0
2021-06-24,Dog eFishing,2,3,7,45,1
2021-06-24,Dog eFishing,2,3,7,32,2
2021-06-24,Dog eFishing,2,3,7,22.6,7
2021-06-24,Dog eFishing,2,3,7,16,3
2021-06-24,Dog eFishing,2,3,7,11.3,6
2021-06-24,Dog eFishing,2,3,7,8,7
2021-06-24,Dog eFishing,2,3,7,5.6,7
2021-06-24,Dog eFishing,2,3,7,4,8
2021-06-24,Dog eFishing,2,3,7,2.8,8
2021-06-24,Dog eFishing,2,3,7,2,3
2021-06-24,Dog eFishing,2,3,7,1.9,48
2021-06-24,Dog eFishing,3,3,7,256,20
2021-06-24,Dog eFishing,3,3,7,180,0
2021-06-24,Dog eFishing,3,3,7,128,5
2021-06-24,Dog eFishing,3,3,7,90,2
2021-06-24,Dog eFishing,3,3,7,64,6
2021-06-24,Dog eFishing,3,3,7,45,8
2021-06-24,Dog eFishing,3,3,7,32,5
2021-06-24,Dog eFishing,3,3,7,22.6,1
2021-06-24,Dog eFishing,3,3,7,16,2
2021-06-24,Dog eFishing,3,3,7,11.3,3
2021-06-24,Dog eFishing,3,3,7,8,0
2021-06-24,Dog eFishing,3,3,7,5.6,0
2021-06-24,Dog eFishing,3,3,7,4,0
2021-06-24,Dog eFishing,3,3,7,2.8,0
2021-06-24,Dog eFishing,3,3,7,2,0
2021-06-24,Dog eFishing,3,3,7,1.9,48
2021-06-22,Little Creek eFishing,1,3,11,256,0
2021-06-22,Little Creek eFishing,1,3,11,180,0
2021-06-22,Little Creek eFishing,1,3,11,128,0
2021-06-22,Little Creek eFishing,1,3,11,90,3
2021-06-22,Little Creek eFishing,1,3,11,64,6
2021-06-22,Little Creek eFishing,1,3,11,45,1
2021-06-22,Little Creek eFishing,1,3,11,32,4
2021-06-22,Little Creek eFishing,1,3,11,22.6,1
2021-06-22,Little Creek eFishing,1,3,11,16,2
2021-06-22,Little Creek eFishing,1,3,11,11.3,2
2021-06-22,Little Creek eFishing,1,3,11,8,3
2021-06-22,Little Creek eFishing,1,3,11,5.6,2
2021-06-22,Little Creek eFishing,1,3,11,4,3
2021-06-22,Little Creek eFishing,1,3,11,2.8,0
2021-06-22,Little Creek eFishing,1,3,11,2,0
2021-06-22,Little Creek eFishing,1,3,11,1.9,73
2021-06-22,Little Creek eFishing,2,3,11,256,0
2021-06-22,Little Creek eFishing,2,3,11,180,0
2021-06-22,Little Creek eFishing,2,3,11,128,0
2021-06-22,Little Creek eFishing,2,3,11,90,3
2021-06-22,Little Creek eFishing,2,3,11,64,2
2021-06-22,Little Creek eFishing,2,3,11,45,4
2021-06-22,Little Creek eFishing,2,3,11,32,3
2021-06-22,Little Creek eFishing,2,3,11,22.6,3
2021-06-22,Little Creek eFishing,2,3,11,16,5
2021-06-22,Little Creek eFishing,2,3,11,11.3,5
2021-06-22,Little Creek eFishing,2,3,11,8,2
2021-06-22,Little Creek eFishing,2,3,11,5.6,1
2021-06-22,Little Creek eFishing,2,3,11,4,1
2021-06-22,Little Creek eFishing,2,3,11,2.8,2
2021-06-22,Little Creek eFishing,2,3,11,2,0
2021-06-22,Little Creek eFishing,2,3,11,1.9,69
2021-06-22,Little Creek eFishing,3,3,11,256,17
2021-06-22,Little Creek eFishing,3,3,11,180,0
2021-06-22,Little Creek eFishing,3,3,11,128,3
2021-06-22,Little Creek eFishing,3,3,11,90,0
2021-06-22,Little Creek eFishing,3,3,11,64,2
2021-06-22,Little Creek eFishing,3,3,11,45,4
2021-06-22,Little Creek eFishing,3,3,11,32,5
2021-06-22,Little Creek eFishing,3,3,11,22.6,0
2021-06-22,Little Creek eFishing,3,3,11,16,2
2021-06-22,Little Creek eFishing,3,3,11,11.3,2
2021-06-22,Little Creek eFishing,3,3,11,8,0
2021-06-22,Little Creek eFishing,3,3,11,5.6,1
2021-06-22,Little Creek eFishing,3,3,11,4,4
2021-06-22,Little Creek eFishing,3,3,11,2.8,0
2021-06-22,Little Creek eFishing,3,3,11,2,0
2021-06-22,Little Creek eFishing,3,3,11,1.9,60
